Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
65d54b3b524fcafb543d1b23,pilates,0.2776629934487507,5.348359389873872
65d54b3b524fcafb543d1b23,knitting,0.3773297868160741,6.743197101286425
65d54b3b524fcafb543d1b23,basketball,0.43336980625367905,6.944456120153143
65d54b3b524fcafb543d1b23,sports,0.7129554005804419,7.632096830066516
65d54b3b524fcafb543d1b23,swimming,0.5748485895040223,7.308168630480959
65d54b3b524fcafb543d1b23,hiking,0.5824418913198978,6.601631022316016
65d54b3b524fcafb543d1b23,walking,0.746853413051801,7.718085347230461
65d54b3b524fcafb543d1b23,exercising,0.6640846332100434,7.114691097836785
65d6a09286a0c99e632a46dd,sports,0.0001,7.632096830066516
65d6a09286a0c99e632a46dd,walking,0.43431183524746375,7.718085347230461
65d6a09286a0c99e632a46dd,running,0.6887785940156999,8.091638029454867
65d6a09286a0c99e632a46dd,working out,0.660083662814325,6.763521806013703
65d6a09286a0c99e632a46dd,planner,0.26176146410901213,6.678731103915477
65d6a09286a0c99e632a46dd,phone,0.40754632366768073,7.95895861554064
65d6a09286a0c99e632a46dd,gamble,0.3614789641315812,6.795131065157234
65d6a09286a0c99e632a46dd,travel,0.4739440643346233,8.003581346541086
65d6a09286a0c99e632a46dd,tango,0.32907051899363937,6.063426438891258
